資料集名稱,下載方式及key,數據類型
adj_close,etl:adj_close,float
adj_high,etl:adj_high,float
adj_low,etl:adj_low,float
adj_open,etl:adj_open,float
buy,etl:broker_transactions:top15_buy,int
sell,etl:broker_transactions:top15_sell,int
一年內到期長期負債,financial_statement:一年內到期長期負債,float
不動產廠房及設備,financial_statement:不動產廠房及設備,float
使用權資產,financial_statement:使用權資產,float
保留盈餘,financial_statement:保留盈餘,float
停業單位損益,financial_statement:停業單位損益,float
償還公司債,financial_statement:償還公司債,float
償還長期借款,financial_statement:償還長期借款,float
共同控制下前手權益,financial_statement:共同控制下前手權益,float
其他應付款,financial_statement:其他應付款,float
其他應收款,financial_statement:其他應收款,float
其他投資活動,financial_statement:其他投資活動,float
其他收益及費損淨額,financial_statement:其他收益及費損淨額,float
其他權益,financial_statement:其他權益,float
其他流動資產,financial_statement:其他流動資產,float
其他非流動資產,financial_statement:其他非流動資產,float
利息收入,financial_statement:利息收入,float
利息費用,financial_statement:利息費用,float
取得不動產_廠房及設備,financial_statement:取得不動產_廠房及設備,float
取得無形資產,financial_statement:取得無形資產,float
取得透過其他綜合損益按公允價值衡量之金融資產,financial_statement:取得透過其他綜合損益按公允價值衡量之金融資產,float
合併前非屬共同控制股權,financial_statement:合併前非屬共同控制股權,float
合併前非屬共同控制股權損益,financial_statement:合併前非屬共同控制股權損益,float
合併總損益,financial_statement:合併總損益,float
合約負債_流動,financial_statement:合約負債_流動,float
合約負債_非流動,financial_statement:合約負債_非流動,float
合約資產_流動,financial_statement:合約資產_流動,float
合約資產_非流動,financial_statement:合約資產_非流動,float
呆帳費用提列_轉列收入_數,financial_statement:呆帳費用提列_轉列收入_數,float
商譽及無形資產合計,financial_statement:商譽及無形資產合計,float
存入保證金增加,financial_statement:存入保證金增加,float
存入保證金減少,financial_statement:存入保證金減少,float
存貨,financial_statement:存貨,float
存貨_增加_減少,financial_statement:存貨_增加_減少,float
已實現銷貨損失_利益,financial_statement:已實現銷貨損失_利益,float
庫藏股票帳面值,financial_statement:庫藏股票帳面值,float
待出售非流動資產,financial_statement:待出售非流動資產,float
待分配股票股利,financial_statement:待分配股票股利,float
應付公司債_非流動,financial_statement:應付公司債_非流動,float
應付商業本票∕承兌匯票,financial_statement:應付商業本票∕承兌匯票,float
應付帳款_關係人增加_減少,financial_statement:應付帳款_關係人增加_減少,float
應付帳款及票據,financial_statement:應付帳款及票據,float
應付帳款增加_減少,financial_statement:應付帳款增加_減少,float
應付短期票券增加,financial_statement:應付短期票券增加,float
應付短期票券減少,financial_statement:應付短期票券減少,float
應收帳款_增加_減少,financial_statement:應收帳款_增加_減少,float
應收帳款_關係人_增加_減少,financial_statement:應收帳款_關係人_增加_減少,float
應收帳款及票據,financial_statement:應收帳款及票據,float
應計退休金負債,financial_statement:應計退休金負債,float
所得稅費用,financial_statement:所得稅費用,float
投資性不動產淨額,financial_statement:投資性不動產淨額,float
投資活動之淨現金流入_流出,financial_statement:投資活動之淨現金流入_流出,float
折舊費用,financial_statement:折舊費用,float
按攤銷後成本衡量之金融負債_流動,financial_statement:按攤銷後成本衡量之金融負債_流動,float
按攤銷後成本衡量之金融負債_非流動,financial_statement:按攤銷後成本衡量之金融負債_非流動,float
按攤銷後成本衡量之金融資產_流動,financial_statement:按攤銷後成本衡量之金融資產_流動,float
按攤銷後成本衡量之金融資產_非流動,financial_statement:按攤銷後成本衡量之金融資產_非流動,float
採權益法之長期股權投資,financial_statement:採權益法之長期股權投資,float
採權益法之關聯企業及合資損益之份額,financial_statement:採權益法之關聯企業及合資損益之份額,float
採用權益法認列之關聯企業及合資損失_利益_之份額,financial_statement:採用權益法認列之關聯企業及合資損失_利益_之份額,float
推銷費用,financial_statement:推銷費用,float
換股權利證書,financial_statement:換股權利證書,float
